"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Precipitation Amount","1961 November","Mullingar","Millimetres","58.9"
"Precipitation Amount","1961 November","Cork Airport","Millimetres",""
"Precipitation Amount","1961 November","Casement","Millimetres",""
"Precipitation Amount","1961 November","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 November","Roches Point","Millimetres",""
"Precipitation Amount","1961 November","Markree","Millimetres",""
"Precipitation Amount","1961 December","Malin Head","Millimetres","98"
"Precipitation Amount","1961 December","Claremorris","Millimetres","98"
"Precipitation Amount","1961 December","Valentia Observatory","Millimetres","107.7"
"Precipitation Amount","1961 December","Belmullet","Millimetres","103.6"
"Precipitation Amount","1961 December","Shannon Airport","Millimetres","83.7"
"Precipitation Amount","1961 December","Dublin Airport","Millimetres","57.1"
"Precipitation Amount","1961 December","Mullingar","Millimetres","66.1"
"Precipitation Amount","1961 December","Cork Airport","Millimetres",""
"Precipitation Amount","1961 December","Casement","Millimetres",""
"Precipitation Amount","1961 December","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 December","Roches Point","Millimetres",""
"Precipitation Amount","1961 December","Markree","Millimetres",""
"Precipitation Amount","1962 January","Malin Head","Millimetres","143.6"
"Precipitation Amount","1962 January","Claremorris","Millimetres","146.1"
"Precipitation Amount","1962 January","Valentia Observatory","Millimetres","165.8"
"Precipitation Amount","1962 January","Belmullet","Millimetres","153.9"
"Precipitation Amount","1962 January","Shannon Airport","Millimetres","147.6"
"Precipitation Amount","1962 January","Dublin Airport","Millimetres","41.1"
"Precipitation Amount","1962 January","Mullingar","Millimetres","98.1"
"Precipitation Amount","1962 January","Cork Airport","Millimetres",""
"Precipitation Amount","1962 January","Casement","Millimetres",""
"Precipitation Amount","1962 January","Phoenix Park","Millimetres",""
"Precipitation Amount","1962 January","Roches Point","Millimetres",""
"Precipitation Amount","1962 January","Markree","Millimetres",""
"Precipitation Amount","1962 February","Malin Head","Millimetres","66.2"
"Precipitation Amount","1962 February","Claremorris","Millimetres","45.6"
"Precipitation Amount","1962 February","Valentia Observatory","Millimetres","36.6"
"Precipitation Amount","1962 February","Belmullet","Millimetres","48.1"
"Precipitation Amount","1962 February","Shannon Airport","Millimetres","37.7"
"Precipitation Amount","1962 February","Dublin Airport","Millimetres","26.7"
"Precipitation Amount","1962 February","Mullingar","Millimetres","63.7"
"Precipitation Amount","1962 February","Cork Airport","Millimetres",""
"Precipitation Amount","1962 February","Casement","Millimetres",""
"Precipitation Amount","1962 February","Phoenix Park","Millimetres",""
"Precipitation Amount","1962 February","Roches Point","Millimetres",""
"Precipitation Amount","1962 February","Markree","Millimetres",""
"Precipitation Amount","1962 March","Malin Head","Millimetres","78.6"
"Precipitation Amount","1962 March","Claremorris","Millimetres","82.1"
"Precipitation Amount","1962 March","Valentia Observatory","Millimetres","126.9"
"Precipitation Amount","1962 March","Belmullet","Millimetres","98.7"
"Precipitation Amount","1962 March","Shannon Airport","Millimetres","68.7"
"Precipitation Amount","1962 March","Dublin Airport","Millimetres","53.6"
"Precipitation Amount","1962 March","Mullingar","Millimetres","58.9"
"Precipitation Amount","1962 March","Cork Airport","Millimetres",""
"Precipitation Amount","1962 March","Casement","Millimetres",""
"Precipitation Amount","1962 March","Phoenix Park","Millimetres",""
"Precipitation Amount","1962 March","Roches Point","Millimetres",""
"Precipitation Amount","1962 March","Markree","Millimetres",""
"Precipitation Amount","1962 April","Malin Head","Millimetres","65.6"
"Precipitation Amount","1962 April","Claremorris","Millimetres","70.9"
"Precipitation Amount","1962 April","Valentia Observatory","Millimetres","75.1"
"Precipitation Amount","1962 April","Belmullet","Millimetres","68.9"
"Precipitation Amount","1962 April","Shannon Airport","Millimetres","57.5"
"Precipitation Amount","1962 April","Dublin Airport","Millimetres","40.8"
"Precipitation Amount","1962 April","Mullingar","Millimetres","58.7"
"Precipitation Amount","1962 April","Cork Airport","Millimetres","68.6"
"Precipitation Amount","1962 April","Casement","Millimetres",""
"Precipitation Amount","1962 April","Phoenix Park","Millimetres",""
"Precipitation Amount","1962 April","Roches Point","Millimetres",""
"Precipitation Amount","1962 April","Markree","Millimetres",""
"Precipitation Amount","1962 May","Malin Head","Millimetres","44.5"
"Precipitation Amount","1962 May","Claremorris","Millimetres","54.4"
"Precipitation Amount","1962 May","Valentia Observatory","Millimetres","95"
"Precipitation Amount","1962 May","Belmullet","Millimetres","50.3"
"Precipitation Amount","1962 May","Shannon Airport","Millimetres","49.1"
"Precipitation Amount","1962 May","Dublin Airport","Millimetres","56.8"
"Precipitation Amount","1962 May","Mullingar","Millimetres","84.2"
"Precipitation Amount","1962 May","Cork Airport","Millimetres","80.7"
"Precipitation Amount","1962 May","Casement","Millimetres",""
"Precipitation Amount","1962 May","Phoenix Park","Millimetres",""
"Precipitation Amount","1962 May","Roches Point","Millimetres",""
"Precipitation Amount","1962 May","Markree","Millimetres",""
"Precipitation Amount","1962 June","Malin Head","Millimetres","59.1"
"Precipitation Amount","1962 June","Claremorris","Millimetres","73.1"
"Precipitation Amount","1962 June","Valentia Observatory","Millimetres","69.3"
"Precipitation Amount","1962 June","Belmullet","Millimetres","56.2"
"Precipitation Amount","1962 June","Shannon Airport","Millimetres","46.1"
"Precipitation Amount","1962 June","Dublin Airport","Millimetres","24.9"
"Precipitation Amount","1962 June","Mullingar","Millimetres","40.6"
"Precipitation Amount","1962 June","Cork Airport","Millimetres","50.2"
"Precipitation Amount","1962 June","Casement","Millimetres",""
"Precipitation Amount","1962 June","Phoenix Park","Millimetres",""
"Precipitation Amount","1962 June","Roches Point","Millimetres",""
"Precipitation Amount","1962 June","Markree","Millimetres",""
"Precipitation Amount","1962 July","Malin Head","Millimetres","43.9"
"Precipitation Amount","1962 July","Claremorris","Millimetres","62.5"
"Precipitation Amount","1962 July","Valentia Observatory","Millimetres","68.6"
"Precipitation Amount","1962 July","Belmullet","Millimetres","42.7"
"Precipitation Amount","1962 July","Shannon Airport","Millimetres","53.9"
"Precipitation Amount","1962 July","Dublin Airport","Millimetres","68"
"Precipitation Amount","1962 July","Mullingar","Millimetres","55.9"
"Precipitation Amount","1962 July","Cork Airport","Millimetres","92.2"
"Precipitation Amount","1962 July","Casement","Millimetres",""
"Precipitation Amount","1962 July","Phoenix Park","Millimetres",""
"Precipitation Amount","1962 July","Roches Point","Millimetres",""
"Precipitation Amount","1962 July","Markree","Millimetres",""
"Precipitation Amount","1962 August","Malin Head","Millimetres","135.8"
"Precipitation Amount","1962 August","Claremorris","Millimetres","100.7"
"Precipitation Amount","1962 August","Valentia Observatory","Millimetres","125.1"
"Precipitation Amount","1962 August","Belmullet","Millimetres","105.6"
"Precipitation Amount","1962 August","Shannon Airport","Millimetres","131.9"
"Precipitation Amount","1962 August","Dublin Airport","Millimetres","73.1"
"Precipitation Amount","1962 August","Mullingar","Millimetres","106.2"
"Precipitation Amount","1962 August","Cork Airport","Millimetres","99.4"
"Precipitation Amount","1962 August","Casement","Millimetres",""
"Precipitation Amount","1962 August","Phoenix Park","Millimetres",""
"Precipitation Amount","1962 August","Roches Point","Millimetres",""
"Precipitation Amount","1962 August","Markree","Millimetres",""
"Precipitation Amount","1962 September","Malin Head","Millimetres","123"
"Precipitation Amount","1962 September","Claremorris","Millimetres","152.7"
"Precipitation Amount","1962 September","Valentia Observatory","Millimetres","143.5"
"Precipitation Amount","1962 September","Belmullet","Millimetres","130.3"
"Precipitation Amount","1962 September","Shannon Airport","Millimetres","107.6"
"Precipitation Amount","1962 September","Dublin Airport","Millimetres","129.2"
"Precipitation Amount","1962 September","Mullingar","Millimetres","177.3"
"Precipitation Amount","1962 September","Cork Airport","Millimetres","122.4"
"Precipitation Amount","1962 September","Casement","Millimetres",""
"Precipitation Amount","1962 September","Phoenix Park","Millimetres",""
"Precipitation Amount","1962 September","Roches Point","Millimetres",""
"Precipitation Amount","1962 September","Markree","Millimetres",""
"Precipitation Amount","1962 October","Malin Head","Millimetres","38.9"
"Precipitation Amount","1962 October","Claremorris","Millimetres","34.2"
"Precipitation Amount","1962 October","Valentia Observatory","Millimetres","71.4"
"Precipitation Amount","1962 October","Belmullet","Millimetres","59.3"
"Precipitation Amount","1962 October","Shannon Airport","Millimetres","47.5"
"Precipitation Amount","1962 October","Dublin Airport","Millimetres","16.8"
"Precipitation Amount","1962 October","Mullingar","Millimetres","38.8"
"Precipitation Amount","1962 October","Cork Airport","Millimetres","42.6"
"Precipitation Amount","1962 October","Casement","Millimetres",""
"Precipitation Amount","1962 October","Phoenix Park","Millimetres",""
"Precipitation Amount","1962 October","Roches Point","Millimetres",""
